"","player_id","league","active","use_name","first_name","middle_name","last_name","primary_position_name","link","birth_date","birth_city","birth_state_province","birth_country","draft_year","mlb_debut_date","highest_league","birth_country2"
"1",682928,"MLB",TRUE,"C.J.","Paul","Christopher","Abrams","Shortstop","/api/v1/people/682928","2000-10-03","Alpharetta","GA","USA",2019,"2022-04-08","MLB","USA"
"2",656061,"MLB",TRUE,"Albert","Albert","Enmanuel","Abreu","Pitcher","/api/v1/people/656061","1995-09-26","Guayubin",NA,"Dominican Republic",NA,"2020-08-08","MLB","Dominican Republic"
"3",650556,"MLB",TRUE,"Bryan","Bryan","Enrique","Abreu","Pitcher","/api/v1/people/650556","1997-04-22","Santo Domingo Centro",NA,"Dominican Republic",NA,"2019-07-31","MLB","Dominican Republic"
"4",547989,"MLB",TRUE,"Jose","Jose","Dariel","Abreu","First Base","/api/v1/people/547989","1987-01-29","Cienfuegos",NA,"Cuba",NA,"2014-03-31","MLB","Cuba"
"5",642758,"MLB",TRUE,"Domingo","Domingo","Antonio","Acevedo","Pitcher","/api/v1/people/642758","1994-03-06","Villa Los Almacigos",NA,"Dominican Republic",NA,"2021-06-21","MLB","Dominican Republic"
"6",660670,"MLB",TRUE,"Ronald","Ronald","Jose","Acuna","Outfielder","/api/v1/people/660670","1997-12-18","La Guaira",NA,"Venezuela",NA,"2018-04-25","MLB","Venezuela"
"7",592094,"MLB",TRUE,"Jason","Jason","Kendall","Adam","Pitcher","/api/v1/people/592094","1991-08-04","Omaha","NE","USA",2010,"2018-05-05","MLB","USA"
"8",642715,"MLB",TRUE,"Willy","Willy","Rafael","Adames","Shortstop","/api/v1/people/642715","1995-09-02","Santiago",NA,"Dominican Republic",NA,"2018-05-22","MLB","Dominican Republic"
"9",613534,"MLB",TRUE,"Austin","Austin","Lance","Adams","Pitcher","/api/v1/people/613534","1991-05-05","Tampa","FL","USA",2012,"2017-07-15","MLB","USA"
"10",656180,"MLB",TRUE,"Riley","Riley","Keaton","Adams","Catcher","/api/v1/people/656180","1996-06-26","Encinitas","CA","USA",2017,"2021-06-08","MLB","USA"
"11",666176,"MLB",TRUE,"Jo","Jordon","Scott","Adell","Outfielder","/api/v1/people/666176","1999-04-08","Shelby","NC","USA",2017,"2020-08-04","MLB","USA"
"12",672851,"MLB",TRUE,"Joan","Joan","Manuel","Adon","Pitcher","/api/v1/people/672851","1998-08-12","Santo Domingo",NA,"DOM",NA,"2021-10-03","MLB","Dominican Republic"
"13",542583,"MLB",TRUE,"Jesus","Jesus","Alexander","Aguilar","First Base","/api/v1/people/542583","1990-06-30","Maracay",NA,"Venezuela",NA,"2014-05-15","MLB","Venezuela"
"14",605113,"MLB",TRUE,"Nick","Nicholas","Mark","Ahmed","Shortstop","/api/v1/people/605113","1990-03-15","East Longmeadow","MA","USA",2011,"2014-06-29","MLB","USA"
"15",669211,"MLB",TRUE,"Keegan","Keegan","Lee","Akin","Pitcher","/api/v1/people/669211","1995-04-01","Alma","MI","USA",2016,"2020-08-14","MLB","USA"
"16",593643,"MLB",TRUE,"Hanser","Hanser","Joel","Alberto","Third Base","/api/v1/people/593643","1992-10-17","San Francisco de Macoris",NA,"Dominican Republic",NA,"2015-05-29","MLB","Dominican Republic"
