"","pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher_1","fielder_2_1","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"1","CU",2022-05-18,71.6,-0.96,6.35,"Greinke, Zack",544725,425844,"field_out","hit_into_play",NA,NA,NA,NA,5,"Leury Garcia grounds out, first baseman Hunter Dozier to pitcher Zack Greinke.","R","L","R","KC","CWS","X",3,"ground_ball",0,0,2022,0.91,-1,0.08,2.35,NA,NA,NA,0,5,"Top",169.14,154.97,NA,NA,669004,NA,NA,0.512876021622825,-104.270581987376,1.25206924941864,6.51669596244519,17.5789841776332,-39.8954412681147,3.35,1.58,11,91.8,-13,71.1,2396,5.8,662726,425844,669004,641531,670032,656896,677951,643217,664728,593160,54.67,0.174,0.163,0,1,0,0,2,34,1,"Curveball",2,1,1,2,1,2,1,2,"Standard","Standard",47,0.032,-0.222
"2","SL",2022-05-18,85,-0.89,6.44,"Greinke, Zack",547989,425844,"field_out","hit_into_play",NA,NA,NA,NA,6,"Jose Abreu grounds out sharply, pitcher Zack Greinke to first baseman Hunter Dozier.","R","R","R","KC","CWS","X",1,"ground_ball",2,1,2022,0.51,0.4,0.28,2.58,NA,NA,NA,0,4,"Top",127.86,176.06,NA,NA,669004,NA,NA,1.71429258812323,-123.93532803645,-3.61001357879869,5.03954970558792,22.077767503354,-27.5770809416156,3.51,1.64,16,101.2,-8,85,2335,5.9,662726,425844,669004,641531,670032,656896,677951,643217,664728,593160,54.56,0.32,0.296,0,1,0,0,2,28,4,"Slider",2,1,1,2,1,2,1,2,"Standard","Standard",138,0.028,-0.264
"3","CH",2022-05-08,86.2,-1.44,6.31,"Greinke, Zack",596059,425844,"force_out","hit_into_play",NA,NA,NA,NA,13,"Rougned Odor grounds into a force out, pitcher Zack Greinke to shortstop Nicky Lopez.   Austin Hays to 3rd.    Ryan Mountcastle out at 2nd.    Rougned Odor to 1st.","R","L","R","BAL","KC","X",1,"ground_ball",2,1,2022,-1.24,0.48,-0.87,1.97,NA,669720,663624,1,3,"Bot",127.92,179.36,NA,NA,521692,NA,NA,3.82832017294921,-125.441943729499,-5.01063887435837,-13.8380554113693,25.6214018176385,-26.3353961185066,3.12,1.38,10,86,-10,85.3,1512,5.7,661307,425844,521692,641531,593160,677951,670032,643217,572191,664728,54.78,0.134,0.125,0,1,0,0,2,26,4,"Changeup",1,1,1,1,1,1,1,1,"Infield shift","Standard",223,-0.041,-0.651
"4","CU",2022-05-02,70.6,-0.99,6.3,"Greinke, Zack",572816,425844,"field_out","hit_into_play",NA,NA,NA,NA,4,"Corey Dickerson grounds out, pitcher Zack Greinke to first baseman Carlos Santana.","R","L","R","STL","KC","X",1,"ground_ball",2,2,2022,1.09,-1.03,-0.58,2.58,NA,NA,502671,2,4,"Bot",127.86,180.64,NA,NA,521692,NA,NA,-0.994817839040606,-102.75865354496,2.09826175762744,7.85740566882162,18.0749852975979,-40.0676360999132,3.32,1.5,7,92.4,-20,69.9,2320,5.8,662009,425844,521692,467793,593160,677951,670032,643217,572191,658668,54.67,0.111,0.1,0,1,0,0,2,30,6,"Curveball",1,0,1,0,0,1,1,0,"Standard","Standard",48,-0.022,-0.183
"5","CU",2022-05-02,69.5,-0.85,6.3,"Greinke, Zack",572816,425844,"field_out","hit_into_play",NA,NA,NA,NA,4,"Corey Dickerson grounds out, second baseman Whit Merrifield to pitcher Zack Greinke.","R","L","R","STL","KC","X",4,"ground_ball",2,2,2022,0.99,-0.92,-0.62,2.35,NA,NA,NA,0,2,"Bot",149.72,161.17,NA,NA,521692,NA,NA,-1.17100581073715,-101.209173260914,1.68624627546114,6.94834505404296,17.9112346338249,-38.9701291824946,3.32,1.5,51,84.2,1,68.6,2378,5.7,662009,425844,521692,467793,593160,677951,670032,643217,572191,658668,54.76,0.274,0.247,0,1,0,0,2,13,8,"Curveball",1,0,1,0,0,1,1,0,"Standard","Standard",49,-0.02,-0.199
"6","FF",2022-05-02,89.7,-0.86,6.51,"Greinke, Zack",571448,425844,"field_out","hit_into_play",NA,NA,NA,NA,12,"Nolan Arenado grounds out, first baseman Carlos Santana to pitcher Zack Greinke.","R","R","R","STL","KC","X",3,"ground_ball",0,2,2022,0.31,1.09,1.67,2.95,NA,NA,NA,2,1,"Bot",143.99,163.79,NA,NA,521692,NA,NA,5.52974151328543,-130.6068913612,-5.1064908929532,2.50839222318145,25.1065552893887,-18.8441149814883,3.34,1.65,14,64.6,-10,88.8,2340,5.5,662009,425844,521692,467793,593160,677951,670032,643217,572191,658668,54.98,0.077,0.08,0,1,0,0,2,8,4,"4-Seam Fastball",1,0,1,0,0,1,1,0,"Strategic","Strategic",185,-0.009,-0.056
"7","CU",2022-04-27,73.6,-0.93,6.24,"Greinke, Zack",518735,425844,"field_out","hit_into_play",NA,NA,NA,NA,5,"Yasmani Grandal grounds out, first baseman Hunter Dozier to pitcher Zack Greinke.","R","L","R","CWS","KC","X",3,"ground_ball",2,2,2022,1.02,-1.14,-0.08,2.2,683734,NA,NA,2,3,"Bot",159.24,165.96,NA,NA,521692,NA,NA,-0.046115609564432,-107.004601405192,1.23148180528975,7.685653402289,22.4414757205344,-41.3456286586402,3.19,1.52,5,73.5,-25,72.3,2546,5.9,661533,425844,521692,641531,593160,677951,670032,643217,572191,658668,54.65,0.071,0.069,0,1,0,0,2,23,7,"Curveball",2,0,2,0,0,2,2,0,"Strategic","Standard",46,-0.027,-0.271
"8","CU",2022-04-14,68.4,-1.16,6.12,"Greinke, Zack",622682,425844,"field_out","hit_into_play",NA,NA,NA,NA,9,"Victor Reyes grounds out, first baseman Carlos Santana to pitcher Zack Greinke.","R","L","R","KC","DET","X",3,"ground_ball",0,1,2022,1.12,-1.18,0.54,1.66,NA,NA,NA,0,1,"Top",155.26,168.43,NA,NA,521692,NA,NA,1.40276466622084,-99.4647338464811,1.4411288407834,7.07365257329205,18.4826559512906,-40.4471715281982,3.58,1.68,15,72.6,-7,67.2,2407,5.7,662702,425844,521692,467793,670032,677951,609275,643217,572191,593160,54.8,0.071,0.064,0,1,0,0,2,1,2,"Curveball",0,0,0,0,0,0,0,0,"Standard","Standard",46,0.022,-0.188
"9","CU",2022-04-07,71.2,-1.07,6.17,"Greinke, Zack",665926,425844,"field_out","hit_into_play",NA,NA,NA,NA,13,"Andres Gimenez lines out to pitcher Zack Greinke.","R","L","R","KC","CLE","X",1,"line_drive",1,2,2022,0.91,-0.98,-1.1,1.56,NA,NA,595978,2,5,"Top",130.36,183.94,NA,NA,521692,NA,NA,-1.56531350144261,-103.668232149113,0.18373377499736,6.79106027760841,18.3662450557463,-39.4625446347365,3.32,1.51,68,69.7,6,70.8,2537,6.1,662766,425844,521692,467793,670032,677951,609275,643217,572191,593160,54.38,0.203,0.183,0,1,0,0,2,32,4,"Curveball",0,1,1,0,1,0,1,0,"Infield shift","Standard",48,0.025,-0.156
"10","FF",2022-04-07,89.9,-1.01,6.29,"Greinke, Zack",656252,425844,"field_out","hit_into_play",NA,NA,NA,NA,9,"Bobby Bradley grounds out, first baseman Carlos Santana to pitcher Zack Greinke.","R","L","R","KC","CLE","X",3,"ground_ball",0,0,2022,-0.11,1.24,0.82,2.02,NA,NA,NA,1,2,"Top",152.78,168.79,NA,NA,521692,NA,NA,4.72075090229039,-130.918435220164,-7.26664341677146,-2.08436453062824,22.9193665427235,-16.5681072208145,3.41,1.56,17,64.7,-5,89.8,2185,5.8,662766,425844,521692,467793,670032,677951,609275,643217,572191,593160,54.72,0.074,0.067,0,1,0,0,2,9,1,"4-Seam Fastball",0,0,0,0,0,0,0,0,"Infield shift","Strategic",197,0.017,-0.159
