"","date","PA","batters","pitchers","pitches","takes","swings","calledStrikes","whiffs","fouls","BIP","H","BB","SO","outsideZone","insideZone","badCalls","swingsOZ","swingsIZ","takesOZ","takesIZ"
"1",2020-07-23,121,38,13,431,223,204,69,55,71,78,27,10,30,214,217,9,57,147,155,68
"2",2020-07-24,1013,277,122,4016,2100,1898,636,494,741,663,193,94,240,2004,2009,94,524,1372,1465,634
"3",2020-07-25,1123,296,144,4354,2316,2009,757,531,722,756,231,86,258,2171,2183,94,590,1419,1560,756
"4",2020-07-26,1166,309,158,4543,2543,1976,823,504,708,764,248,125,256,2280,2263,100,550,1426,1711,832
"5",2020-07-27,721,188,91,2854,1604,1231,523,330,456,445,150,75,183,1467,1387,68,359,872,1093,511
"6",2020-07-28,1027,263,138,3967,2163,1782,689,466,624,692,210,83,234,1944,2023,63,477,1305,1450,713
"7",2020-07-29,1069,292,135,4368,2314,2030,758,524,847,659,203,95,293,2111,2257,103,530,1500,1563,751
"8",2020-07-30,691,187,81,2680,1404,1250,462,300,496,454,144,60,161,1301,1379,47,354,896,929,475
"9",2020-07-31,919,238,118,3696,2004,1675,623,409,653,613,203,92,198,1838,1854,81,441,1232,1382,620
"10",2020-08-01,850,227,104,3350,1852,1487,588,407,535,545,178,76,213,1741,1609,90,449,1038,1284,568
"11",2020-08-02,954,259,116,3792,2060,1717,662,399,680,638,196,80,228,1874,1918,84,451,1266,1411,649
"12",2020-08-03,665,178,78,2646,1515,1119,517,289,408,422,138,67,165,1353,1293,72,322,797,1022,493
"13",2020-08-04,949,260,114,3718,2004,1693,657,405,656,632,188,84,219,1810,1908,94,432,1261,1363,641
"14",2020-08-05,1080,291,132,4220,2289,1913,749,471,718,724,209,86,257,2092,2128,86,530,1383,1549,740
"15",2020-08-06,823,228,94,3150,1688,1443,556,343,538,562,189,67,182,1555,1595,61,410,1033,1132,556
"16",2020-08-07,1009,265,126,4001,2202,1783,685,403,725,655,197,99,238,2016,1985,74,501,1282,1503,699
"17",2020-08-08,1070,279,136,4325,2384,1927,759,465,757,705,211,101,253,2132,2193,99,510,1417,1610,774
"18",2020-08-09,1080,279,129,4253,2273,1952,712,564,726,662,209,103,294,2081,2171,77,531,1421,1526,746
"19",2020-08-10,800,206,95,3072,1673,1387,519,283,526,578,210,66,143,1537,1535,47,399,988,1127,546
"20",2020-08-11,1092,288,142,4264,2270,1970,718,463,746,761,252,89,221,2108,2156,92,539,1431,1553,717
"21",2020-08-12,1139,278,148,4446,2405,2021,775,486,779,756,291,104,262,2251,2195,110,588,1433,1649,756
"22",2020-08-13,480,118,50,1915,1014,892,306,200,359,333,126,39,101,972,943,36,262,630,703,311
"23",2020-08-14,999,262,112,3907,2110,1780,685,454,646,680,220,84,221,1993,1914,91,528,1252,1452,658
"24",2020-08-15,1141,288,142,4557,2421,2127,765,534,818,775,256,86,266,2265,2292,86,632,1495,1626,795
