"","out_plays","avg_speed","avg_angle","outs_over94","outs_over99","outs_LD","outs_GB","Name","Team","IP","Pitches","BIP","BIP_per_IP","BABIP","K_9","BB_9","GB","LD","GB_pct","LD_pct","Hard_pct","Cent_pct"
"1",0,NA,NA,NA,NA,NA,NA,"Nestor Cortes","NYY",60,923,146,2.43333333333333,0.239,10.2,2.1,53,32,36.3,21.9,23.3,32.2
"2",5,69.18,-17.4,0,0,0,5,"Martin Perez","TEX",69.1,981,192,2.77858176555716,0.263,7.27,2.08,105,26,54.7,13.5,23.6,40
"3",5,69,-25.6,1,1,0,5,"Joe Musgrove","SDP",66,952,175,2.65151515151515,0.249,8.73,1.91,81,35,46.3,20,25.6,33.5
"4",9,64.0888888888889,-34.1111111111111,0,0,0,8,"Sandy Alcantara","MIA",74.2,1102,185,2.49326145552561,0.246,8.56,2.89,97,26,52.4,14.1,25.1,39.6
"5",6,61.2833333333333,-23,0,0,1,5,"Alek Manoah","TOR",69.2,1001,192,2.77456647398844,0.258,7.88,1.68,73,41,38,21.4,19.5,28.2
"6",3,60.4,-41.6666666666667,1,0,0,3,"Shane McClanahan","TBR",64.1,965,145,2.26209048361935,0.285,12.45,1.68,77,28,53.1,19.3,26.2,35.9
"7",8,64.3625,-50.875,0,0,0,8,"Justin Verlander","HOU",71.2,1037,178,2.5,0.216,9.17,1.76,66,34,37.1,19.1,30,37.2
"8",8,70.4,-32.375,1,1,1,7,"Pablo Lopez","MIA",66,1020,173,2.62121212121212,0.246,9.14,2.32,81,36,46.8,20.8,25.4,30.1
"9",6,74.6166666666667,-40.8333333333333,1,1,0,6,"Logan Gilbert","SEA",65,1065,171,2.63076923076923,0.257,9.28,2.63,62,41,36.3,24,34.9,38.4
"10",6,80.85,-16,1,1,0,6,"Tarik Skubal","DET",65.2,990,170,2.60736196319018,0.29,9.59,1.37,78,34,45.9,20,29.7,40.1
"11",13,75.8272727272727,-43.4615384615385,1,0,0,13,"Kyle Wright","ATL",67.2,1017,166,2.4702380952381,0.261,9.71,3.06,85,31,51.2,18.7,27.5,45.5
"12",5,65.3,-54.6,1,0,0,5,"Corbin Burnes","MIL",68.1,1081,167,2.45227606461087,0.259,11.06,1.71,74,31,44.3,18.6,32.3,36.5
"13",8,75.2375,-29.25,3,1,1,7,"Framber Valdez","HOU",69,1036,194,2.81159420289855,0.258,7.17,3.26,127,41,65.5,21.1,26.4,33.5
"14",4,58.25,-42.5,0,0,0,4,"Paul Blackburn","OAK",58.1,867,170,2.92598967297762,0.266,6.79,2.16,86,41,50.6,24.1,27.3,36
