"","avg_speed","out_plays","Name","Team","IP","BIP_per_IP","outs_over94","outs_over99","outs_GB","outs_LD"
"1",92.05,2,"Kyle Freeland","COL",52.2,3.35249042145594,1,1,2,0
"2",89.48,5,"Zack Greinke","KCR",51.2,3.61328125,2,1,4,1
"3",85.7,1,"Cal Quantrill","CLE",53.2,3.00751879699248,0,0,1,0
"4",83.38,5,"Nathan Eovaldi","BOS",63.1,2.83676703645008,0,0,5,0
"5",80.85,6,"Tarik Skubal","DET",58.2,2.62886597938144,1,1,6,0
"6",78.9,3,"Merrill Kelly","ARI",59,3,0,0,3,0
"7",78.5333333333333,3,"Madison Bumgarner","ARI",54.1,3.12384473197782,1,1,3,0
"8",77.45,6,"JT Brubaker","PIT",51.2,3.06640625,0,0,6,0
"9",76.7222222222222,11,"Kyle Wright","ATL",59.2,2.46621621621622,1,0,11,0
"10",76.34,5,"Jordan Montgomery","NYY",53.1,2.93785310734463,1,0,5,0
