"","pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher_1","fielder_2_1","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"1","SI",2022-05-31,92.8,1.13,5.49,"Pérez, Martín",670764,527048,"single","hit_into_play",NA,NA,NA,NA,6,"Taylor Walls singles on a line drive to catcher Jonah Heim, deflected by pitcher Martin Perez.   Francisco Mejia to 2nd.","R","R","L","TEX","TB","X",1,"line_drive",0,0,2022,1.5,0.7,0.71,2.66,NA,NA,642336,2,2,"Top",131.56,179.65,NA,NA,641680,NA,NA,-4.32746937138845,-135.028640989287,-2.97053454222278,19.2642147538776,29.5458536600272,-23.1473435948515,3.4,1.57,72,97.3,3,92.2,1944,5.9,661884,527048,641680,669087,543760,669701,608369,642201,666969,594777,54.57,0.486,0.437,0.9,1,1,0,4,11,1,"Sinker",0,0,0,0,0,0,0,0,"Infield shift","Standard",131,-0.021,0.299
"2","FC",2022-05-26,89.6,1.16,5.41,"Pérez, Martín",542194,527048,"field_out","hit_into_play",NA,NA,NA,NA,7,"Christian Bethancourt bunt grounds out, pitcher Martin Perez to first baseman Nathaniel Lowe.","R","R","L","OAK","TEX","X",1,"ground_ball",1,1,2022,-0.21,0.86,-0.33,1.84,NA,NA,NA,0,7,"Bot",139.64,188.4,NA,NA,641680,NA,NA,-3.22708611732081,-130.499643252341,-4.65927810904391,-1.69853388154118,26.3471532739054,-21.5645856179169,3.63,1.78,8,26.4,-10,89.2,2196,5.9,662376,527048,641680,663993,543760,628451,608369,543543,666969,594777,54.57,0.309,0.278,0,1,0,0,1,51,3,"Cutter",1,1,1,1,1,1,1,1,"Standard","Standard",147,-0.038,0.152
"3","CH",2022-05-26,84.2,1.14,5.6,"Pérez, Martín",542194,527048,"","called_strike",NA,NA,NA,NA,14,"Christian Bethancourt bunt grounds out, pitcher Martin Perez to first baseman Nathaniel Lowe.","R","R","L","OAK","TEX","S",NA,"",1,0,2022,1.06,0.72,0.95,1.94,NA,NA,NA,0,7,"Bot",NA,NA,NA,NA,641680,NA,NA,-2.50184043166174,-122.680571753596,-3.54029642621298,11.1801514656333,24.4017307011137,-24.3682879578951,3.66,1.78,NA,NA,NA,83.6,1702,5.8,662376,527048,641680,663993,543760,628451,608369,543543,666969,594777,54.67,NA,NA,NA,NA,NA,NA,NA,51,2,"Changeup",1,1,1,1,1,1,1,1,"Standard","Standard",127,0,-0.044
"4","CH",2022-05-26,83.3,1.11,5.61,"Pérez, Martín",542194,527048,"","ball",NA,NA,NA,NA,14,"Christian Bethancourt bunt grounds out, pitcher Martin Perez to first baseman Nathaniel Lowe.","R","R","L","OAK","TEX","B",NA,"",0,0,2022,1.02,0.61,1.46,1.52,NA,NA,NA,0,7,"Bot",NA,NA,NA,NA,641680,NA,NA,-1.19261622734695,-121.274024667683,-4.12063360856666,10.3234756138806,24.4790662481017,-25.574509109136,3.62,1.77,NA,NA,NA,82.6,1591,5.9,662376,527048,641680,663993,543760,628451,608369,543543,666969,594777,54.63,NA,NA,NA,NA,NA,NA,NA,51,1,"Changeup",1,1,1,1,1,1,1,1,"Standard","Standard",127,0,0.034
"5","CH",2022-05-20,84.6,1.09,5.87,"Pérez, Martín",455117,527048,"sac_bunt","hit_into_play",NA,NA,NA,NA,3,"Martin Maldonado out on a sacrifice bunt, pitcher Martin Perez to first baseman Nathaniel Lowe.   Chas McCormick to 2nd.","R","R","L","HOU","TEX","X",1,"ground_ball",0,1,2022,1.24,0.96,0.36,3.13,NA,NA,676801,0,6,"Bot",133.38,186.32,NA,NA,641680,NA,NA,-4.14042781014494,-123.141566736132,-1.87642728394218,13.4283825679729,26.8965359415103,-22.3492695659833,3.35,1.61,33,23.9,23,83.6,1802,5.8,662764,527048,641680,663993,543760,543543,608369,642201,666969,594777,54.67,0.24,0.22,0,0,0,0,1,39,2,"Changeup",0,1,0,1,1,0,0,1,"Standard","Standard",120,-0.029,0.086
"6","CH",2022-05-20,84.3,1.17,5.84,"Pérez, Martín",455117,527048,"","called_strike",NA,NA,NA,NA,4,"Martin Maldonado out on a sacrifice bunt, pitcher Martin Perez to first baseman Nathaniel Lowe.   Chas McCormick to 2nd.","R","R","L","HOU","TEX","S",NA,"",0,0,2022,1.1,0.74,-0.77,1.68,NA,NA,676801,0,6,"Bot",NA,NA,NA,NA,641680,NA,NA,-6.65260506720585,-122.577717178787,-4.67797366099332,12.4783135357484,25.4593458226713,-23.9779905876614,2.68,0.83,NA,NA,NA,83.4,1703,5.9,662764,527048,641680,663993,543760,543543,608369,642201,666969,594777,54.63,NA,NA,NA,NA,NA,NA,NA,39,1,"Changeup",0,1,0,1,1,0,0,1,"Standard","Standard",126,0,-0.076
"7","CH",2022-05-20,86,1.07,5.76,"Pérez, Martín",663656,527048,"field_out","hit_into_play",NA,NA,NA,NA,7,"Kyle Tucker grounds out, pitcher Martin Perez to first baseman Nathaniel Lowe.","R","L","L","HOU","TEX","X",1,"ground_ball",2,2,2022,1.2,1.01,-0.79,1.99,NA,NA,NA,0,5,"Bot",129.01,188.03,NA,NA,641680,NA,NA,-6.77533152593422,-124.991621208124,-4.66678409068606,13.9268062082896,27.0137907883086,-20.8353365764176,3.59,1.72,1,93.5,-56,85.2,1701,6,662764,527048,641680,663993,543760,543543,608369,642201,666969,594777,54.47,0.217,0.233,0,1,0,0,2,31,5,"Changeup",0,1,0,1,1,0,0,1,"Infield shift","Standard",124,-0.034,-0.199
"8","SI",2022-05-20,92.8,0.87,5.82,"Pérez, Martín",663656,527048,"","called_strike",NA,NA,NA,NA,7,"Kyle Tucker grounds out, pitcher Martin Perez to first baseman Nathaniel Lowe.","R","L","L","HOU","TEX","S",NA,"",2,1,2022,1.36,1.11,-0.57,1.9,NA,NA,NA,0,5,"Bot",NA,NA,NA,NA,641680,NA,NA,-6.62794192291057,-134.937065066997,-6.61583023064447,18.0424745089292,29.6107509271694,-17.2995759639733,3.56,1.72,NA,NA,NA,92.2,1999,6,662764,527048,641680,663993,543760,543543,608369,642201,666969,594777,54.5,NA,NA,NA,NA,NA,NA,NA,31,4,"Sinker",0,1,0,1,1,0,0,1,"Infield shift","Standard",137,0,-0.065
"9","FC",2022-05-20,89.7,1.19,5.76,"Pérez, Martín",663656,527048,"","ball",NA,NA,NA,NA,13,"Kyle Tucker grounds out, pitcher Martin Perez to first baseman Nathaniel Lowe.","R","L","L","HOU","TEX","B",NA,"",1,1,2022,0,1.08,-0.5,1.51,NA,NA,NA,0,5,"Bot",NA,NA,NA,NA,641680,NA,NA,-4.13770969606458,-130.52716596089,-6.79723855230007,0.786500176718658,25.4103890987077,-18.6229208393945,3.56,1.72,NA,NA,NA,89.3,2216,5.9,662764,527048,641680,663993,543760,543543,608369,642201,666969,594777,54.62,NA,NA,NA,NA,NA,NA,NA,31,3,"Cutter",0,1,0,1,1,0,0,1,"Infield shift","Standard",154,0,0.051
"10","FC",2022-05-20,88.9,1.23,5.74,"Pérez, Martín",663656,527048,"","ball",NA,NA,NA,NA,13,"Kyle Tucker grounds out, pitcher Martin Perez to first baseman Nathaniel Lowe.","R","L","L","HOU","TEX","B",NA,"",0,1,2022,0.06,1.13,-0.9,0.93,NA,NA,NA,0,5,"Bot",NA,NA,NA,NA,641680,NA,NA,-5.29804210657904,-129.238239713386,-8.121135293225,1.61806025868853,24.1365482086998,-18.0500835261006,3.62,1.72,NA,NA,NA,88.8,2247,6,662764,527048,641680,663993,543760,543543,608369,642201,666969,594777,54.46,NA,NA,NA,NA,NA,NA,NA,31,2,"Cutter",0,1,0,1,1,0,0,1,"Infield shift","Standard",147,0,0.025
"11","CH",2022-05-20,83.2,1.17,5.9,"Pérez, Martín",663656,527048,"","swinging_strike",NA,NA,NA,NA,5,"Kyle Tucker grounds out, pitcher Martin Perez to first baseman Nathaniel Lowe.","R","L","L","HOU","TEX","S",NA,"",0,0,2022,0.95,1.26,-0.02,2.46,NA,NA,NA,0,5,"Bot",NA,NA,NA,NA,641680,NA,NA,-4.55209739295598,-121.052435539776,-3.85329102101468,10.2868624624922,25.0555578706339,-19.2192094074623,3.59,1.72,NA,NA,NA,82.5,1736,6,662764,527048,641680,663993,543760,543543,608369,642201,666969,594777,54.53,NA,NA,NA,NA,NA,NA,NA,31,1,"Changeup",0,1,0,1,1,0,0,1,"Infield shift","Standard",122,0,-0.034
"12","SI",2022-05-04,92.7,0.78,5.66,"Pérez, Martín",544369,527048,"field_out","hit_into_play",NA,NA,NA,NA,7,"Didi Gregorius grounds out, first baseman Nathaniel Lowe to pitcher Martin Perez.","R","L","L","PHI","TEX","X",3,"ground_ball",0,1,2022,1.36,0.81,-0.28,2.01,592663,NA,NA,2,5,"Bot",154.45,161.6,NA,NA,641598,NA,NA,-5.64494506582668,-134.805062639247,-5.26532866342559,17.7901815730754,29.8541752241382,-21.3425599473362,3.3,1.63,4,92.9,-30,92.4,1916,6.2,661634,527048,641598,663993,543760,543543,608369,676646,666969,594777,54.32,0.086,0.077,0,1,0,0,2,34,2,"Sinker",0,0,0,0,0,0,0,0,"Infield shift","Standard",134,-0.053,-0.318
"13","SI",2022-05-04,93.1,0.84,5.73,"Pérez, Martín",544369,527048,"","foul",NA,NA,NA,NA,3,"Didi Gregorius grounds out, first baseman Nathaniel Lowe to pitcher Martin Perez.","R","L","L","PHI","TEX","S",NA,"",0,0,2022,1.45,0.71,0.53,2.89,592663,NA,NA,2,5,"Bot",NA,NA,NA,NA,641598,NA,NA,-3.97210182092888,-135.5453509765,-3.05570538190018,18.7060332751346,31.5036051180415,-22.9221719983215,3.3,1.63,5,60.7,-28,92.6,1957,6.1,661634,527048,641598,663993,543760,543543,608369,676646,666969,594777,54.37,NA,NA,NA,NA,NA,NA,NA,34,1,"Sinker",0,0,0,0,0,0,0,0,"Infield shift","Standard",132,0,-0.026
"14","CH",2022-05-04,85.2,0.96,5.92,"Pérez, Martín",592663,527048,"field_out","hit_into_play",NA,NA,NA,NA,12,"J.T. Realmuto grounds out, pitcher Martin Perez to first baseman Nathaniel Lowe.","R","R","L","PHI","TEX","X",1,"ground_ball",2,2,2022,1.08,0.91,1.02,3.37,NA,NA,NA,0,2,"Bot",125.11,175.75,NA,NA,641598,NA,NA,-2.02794571304774,-124.025552634049,-1.47734047632698,11.562258714335,26.2104397775256,-22.7695778852784,3.45,1.63,68,93.6,3,84.4,1704,5.9,661634,527048,641598,663993,543760,543543,608369,676646,666969,594777,54.61,0.474,0.427,0,1,0,0,4,12,5,"Changeup",0,0,0,0,0,0,0,0,"Standard","Standard",128,-0.023,-0.199
