"","pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher_1","fielder_2_1","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"1","SI",2022-04-07,96.4,-0.45,6.04,"Wisdom, Patrick",621550,669203,"field_out","hit_into_play",NA,NA,NA,NA,13,"Patrick Wisdom flies out to left fielder Christian Yelich.","R","R","R","CHC","MIL","X",7,"fly_ball",0,1,2022,-1.04,1.16,-1.03,2.38,664023,NA,518792,2,2,"Bot",78.85,103.95,NA,NA,553882,NA,NA,0.815224444589637,-140.134030808904,-6.72878406491011,-13.7304445028777,35.329474011802,-15.591459851571,3.47,1.59,298,92.8,49,96.2,2651,6.5,663178,669203,553882,642133,543939,607054,642715,592885,456715,592669,54.02,0.014,0.013,0,1,0,0,3,17,2,"Sinker",0,0,0,0,0,0,0,0,"Standard","Standard",196,-0.051,-0.421
"2","SI",2022-04-09,95.8,-1.14,5.89,"Madrigal, Nick",663611,605540,"field_out","hit_into_play",NA,NA,NA,NA,11,"Nick Madrigal lines out to left fielder Christian Yelich.","R","R","R","CHC","MIL","X",7,"line_drive",0,0,2022,-1.08,1.41,-1.14,2.39,NA,NA,NA,2,2,"Bot",95.35,82.02,NA,NA,605170,NA,NA,2.48792199683387,-139.4168583652,-6.87304873160234,-14.6693879047071,32.559885748178,-12.487320686439,3.26,1.48,300,93.8,16,96.9,2303,7,663205,605540,605170,669374,543939,670712,642715,592885,621438,592669,53.52,0.651,0.627,0,1,0,0,4,18,1,"Sinker",3,0,3,0,0,3,3,0,"Standard","Standard",204,-0.005,-0.095
"3","SL",2022-04-10,79.3,-2.65,4.99,"Hoerner, Nico",663538,642547,"field_out","hit_into_play",NA,NA,NA,NA,8,"Nico Hoerner lines out to left fielder Christian Yelich.","R","R","R","CHC","MIL","X",7,"line_drive",1,2,2022,0.96,0.33,-0.05,1.57,NA,543228,NA,1,2,"Bot",63.56,79.92,NA,NA,553882,NA,NA,3.96891307972016,-115.499440055627,-1.39320855530122,8.02598219770841,19.4857600016384,-29.1163710427829,3.41,1.56,332,98.9,19,81.3,2114,7.4,663204,642547,553882,642133,543939,607054,642715,592885,456715,592669,53.12,0.414,0.528,0,1,0,0,4,17,6,"Slider",3,0,3,0,0,3,3,0,"Standard","Standard",65,-0.017,-0.226
"4","FC",2022-04-12,90.9,1.7,6.03,"Urías, Ramón",602104,641778,"field_out","hit_into_play",NA,NA,NA,NA,4,"Ramon Urias flies out to left fielder Christian Yelich.","R","R","L","BAL","MIL","X",7,"fly_ball",1,0,2022,0.03,1.1,-0.76,2.6,NA,NA,NA,0,2,"Bot",76.35,76.11,NA,NA,553882,NA,NA,-6.21547930325644,-132.222576161181,-5.08363562413043,1.5858534331937,26.9703212839549,-18.3241695299932,3.37,1.53,328,87.5,34,91,2411,6.3,663295,641778,553882,642133,543939,607054,642715,592885,456715,592669,54.21,0.006,0.01,0,1,0,0,3,15,2,"Cutter",0,2,0,2,2,0,0,2,"Standard","Standard",162,-0.024,-0.257
"5","FF",2022-04-12,95.1,1.72,6.06,"Mullins, Cedric",656775,641778,"field_out","hit_into_play",NA,NA,NA,NA,5,"Cedric Mullins flies out to left fielder Christian Yelich.","R","L","L","BAL","MIL","X",7,"fly_ball",2,2,2022,0.84,1.39,-0.06,2.46,NA,NA,NA,0,1,"Bot",67.95,138.7,NA,NA,553882,NA,NA,-6.55076705724638,-138.251970779887,-6.88965694036055,12.2725621518114,31.5975794047296,-13.0250729394196,3.26,1.48,209,86.1,53,95,2393,6.3,663295,641778,553882,642133,543939,607054,642715,592885,456715,592669,54.17,0.02,0.023,0,1,0,0,3,7,6,"4-Seam Fastball",0,2,0,2,2,0,0,2,"Infield shift","Standard",142,-0.022,-0.199
"6","SI",2022-04-13,92.8,3.2,5.48,"Chirinos, Robinson",455139,623352,"field_out","hit_into_play",NA,NA,NA,NA,6,"Robinson Chirinos flies out sharply to left fielder Christian Yelich.","R","R","L","BAL","MIL","X",7,"fly_ball",0,0,2022,1.01,1.28,0.69,2.79,NA,NA,622761,2,9,"Bot",68.62,72.22,NA,NA,605170,NA,NA,-8.69152044270647,-134.798259245272,-3.90585320833646,14.2378582688272,29.6054704063129,-15.875486889104,3.41,1.56,344,100.7,24,93.5,1703,6.8,663433,623352,605170,642133,543939,607054,642715,592885,621438,592669,53.68,0.766,1.304,0,1,0,0,6,73,1,"Sinker",2,4,2,4,4,2,2,4,"Strategic","Strategic",141,-0.044,-0.223
"7","SL",2022-04-14,83.5,-1.86,5.42,"Goldschmidt, Paul",502671,594311,"field_out","hit_into_play",NA,NA,NA,NA,5,"Paul Goldschmidt flies out sharply to left fielder Christian Yelich.","R","R","R","MIL","STL","X",7,"fly_ball",2,2,2022,1.05,-0.1,-0.14,2.79,NA,NA,NA,1,8,"Top",68.16,68.43,NA,NA,553882,NA,NA,1.88904839730673,-121.611488983935,0.581576275967574,9.95949440827922,24.9884425563766,-33.4874521584959,3.49,1.6,352,104.7,43,83.1,2496,6.1,661292,594311,553882,642133,543939,607054,642715,592885,456715,592669,54.42,0.303,0.605,0,1,0,0,5,62,6,"Slider",5,1,1,5,1,5,1,5,"Standard","Standard",102,0.007,-0.135
"8","FC",2022-04-14,91.1,-3.27,5.27,"Pujols, Albert",405395,641627,"field_out","hit_into_play",NA,NA,NA,NA,12,"Albert Pujols flies out to left fielder Christian Yelich.","R","R","R","MIL","STL","X",7,"fly_ball",1,1,2022,0.11,1.01,0.63,3.63,NA,NA,571448,2,6,"Top",66.45,76.4,NA,NA,553882,NA,NA,9.51658142334178,-132.250972550043,-0.316929230152749,-0.947294416698162,30.8715239241825,-20.517973009467,3.49,1.6,347,97.8,19,90.3,2232,6.1,661292,641627,553882,642133,543939,607054,642715,592885,456715,592669,54.36,0.397,0.459,0,1,0,0,4,48,3,"Cutter",4,0,0,4,0,4,0,4,"Standard","Standard",204,0.013,-0.212
"9","CH",2022-04-14,87.6,-1.32,5.89,"O'Neill, Tyler",641933,605540,"field_out","hit_into_play",NA,NA,NA,NA,5,"Tyler O'Neill flies out to left fielder Christian Yelich.","R","R","R","MIL","STL","X",7,"fly_ball",2,2,2022,-1.25,0.93,-0.26,2.15,NA,NA,NA,2,1,"Top",77.81,80.58,NA,NA,553882,NA,NA,5.15937476901957,-127.375556928516,-4.85605410258202,-14.6584169575495,26.0562255096635,-21.1965761537585,3.32,1.51,316,92.1,41,88,1852,6.5,661292,605540,553882,642133,543939,607054,642715,592885,456715,592669,53.96,0.014,0.026,0,1,0,0,3,3,6,"Changeup",0,0,0,0,0,0,0,0,"Standard","Standard",227,0.01,-0.079
"10","FF",2022-04-17,92.5,-1.43,5.73,"Goldschmidt, Paul",502671,502202,"field_out","hit_into_play",NA,NA,NA,NA,2,"Paul Goldschmidt flies out sharply to left fielder Christian Yelich.","R","R","R","MIL","STL","X",7,"fly_ball",3,2,2022,-0.4,1.66,-0.22,3.12,NA,NA,NA,2,7,"Top",127.42,189.83,NA,NA,553882,NA,NA,3.89277524730879,-134.624598756332,-4.37530610701763,-5.72824265965724,31.1426726950649,-11.3053148371703,3.49,1.6,274,101.1,49,90.9,2303,5.5,661226,502202,553882,642133,543939,607054,642715,592885,621438,457705,55.03,0.003,0.003,0,1,0,0,3,58,9,"4-Seam Fastball",4,3,3,4,3,4,3,4,"Standard","Standard",202,0.02,-0.105
